organisation_slug,top_level_name_fr,top_level_name_it,top_level_name_de,top_level_name_en
schweizerisches-nationalmuseum-snm,Musee national suisse,Museo nazionale swizzero,Schweizerisches nationalmuseum,Swiss National Museum
sitg-systeme-dinformation-du-territoire-a-geneve,GE,GE,GE,GE
schweizer-radio-und-fernsehen-srg,SRG SSR,SRG SSR,SRG SSR,SRG SSR
staatsarchiv-kanton-zuerich,ZH,ZH,ZH,ZH
staatskanzlei-kanton-st-gallen,SG,SG,SG,SG
staatskanzlei-kanton-zuerich,ZH,ZH,ZH,ZH
staatskanzlei-zug,ZG,ZG,ZG,ZG
sbfi,DEFR,DEFR,WBF,FDEA
staatssekretariat-fuer-migration-sem,DFJP,DFGP,EJPD,FDJP
stadtarchiv-bern,Berne,Berna,Bern,Berne
stadt-bern,Berne,Berna,Bern,Berne
stadt-luzern,Lucerne,Luzerna,Luzern,Lucerne
stadtrat-bern,Berne,Berna,Bern,Berne
stadt-uster,Uster,Uster,Uster,Uster
stadt-winterthur,Winterthour,Winterthur,Winterthur,Winterthur
stadt-zurich,Zurich,Zurigo,Zurich,Zurich
standeskanzlei-graubuenden,GR,GR,GR,GR
statistik-stadt-bern,Berne,Berna,Bern,Berne
statistisches-amt-kanton-zuerich,ZH,ZH,ZH,ZH
swissbib,swissbib (terminee),swissbib (fine),swissbib (eingestellt),swissbib (defunct)
swissmedic,swissmedic,swissmedic,swissmedic,swissmedic
tiefbauamt-kanton-zuerich,ZH,ZH,ZH,ZH
unabhangige-expertenkommission-uek-administrative-versorgungen,Commission independante d expert internements administratifs,Commissione peritale indipendente internamenti amministrativi (fine),UEK Administrative Versorgung (eingestellt),IEC - Independet Expert Commission on Administrative Detention (defunct)
volksschulamt-kanton-zuerich,ZH,ZH,ZH,ZH
digitale_medien_der_armee_dma,DDPS,DDPS,VBS,DDPS
canton-du-valais-cc-geo,VS,VS,VS,VS
eth-zuerich,ETH Zurich,ETH Zurich,ETH Zurich,ETH Zurich
